,Slope,Intercept,Training error,Validation error,Training epochs,Training time
RNN,-0.0029 +- 0.00030,8.0700 +- 0.00301,0.6200 +- 0.06598,0.8200 +- 0.12589,284.0000 +- 96.70717,15.1000 +- 4.78316
LSTM,-0.0029 +- 0.00027,8.0700 +- 0.00229,0.5900 +- 0.04161,0.8200 +- 0.07735,263.0000 +- 72.05493,18.6300 +- 4.43346
BI_LSTM,-0.0030 +- 0.00023,8.0700 +- 0.00188,0.5600 +- 0.03543,0.7700 +- 0.04596,181.0000 +- 52.57340,16.0300 +- 3.51637
BI_GRU,-0.0027 +- 0.00025,8.0700 +- 0.00219,0.6300 +- 0.07014,0.8700 +- 0.11220,279.0000 +- 91.28578,22.7600 +- 6.54211
